City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
459,Yonago,35.4333,133.3333,46.33,57,75,20.71,JP,2022-02-13 20:22:39,broken clouds
460,Otukpo,7.1913,8.1329,83.88,13,97,3.69,NG,2022-02-13 20:22:39,overcast clouds
461,Bacolod,10.6667,122.95,75.94,85,98,4.14,PH,2022-02-13 20:22:40,overcast clouds
462,Zheleznodorozhnyy,55.7503,38.0042,29.75,88,100,8.79,RU,2022-02-13 20:22:40,light snow
463,Zhezkazgan,47.8043,67.7144,28.69,98,100,10.11,KZ,2022-02-13 20:22:41,light snow
464,Liepaja,56.5419,21.0367,37.45,81,0,14.97,LV,2022-02-13 20:22:41,clear sky
465,Kendrapara,20.5042,86.416,59.41,49,15,4.25,IN,2022-02-13 20:22:42,few clouds
466,Kurkino,53.4257,38.6582,21.69,87,100,11.3,RU,2022-02-13 20:22:42,overcast clouds
467,Jasper,37.2001,-94.3502,45.05,37,0,14.97,US,2022-02-13 20:22:43,clear sky
468,The Pas,53.8251,-101.2541,5.02,72,0,6.91,CA,2022-02-13 20:22:43,clear sky
469,Tuatapere,-46.1333,167.6833,51.82,83,11,4.07,NZ,2022-02-13 20:22:43,few clouds
470,Churapcha,62.0025,132.4325,-30.01,100,89,2.15,RU,2022-02-13 20:22:44,overcast clouds
471,Jiaocheng,24.6774,116.1389,48.22,96,99,3.67,CN,2022-02-13 20:22:44,overcast clouds
472,Aykhal,66.0,111.5,-8.77,50,15,0.96,RU,2022-02-13 20:22:45,few clouds
473,Nantucket,41.2835,-70.0995,37.51,86,100,17.27,US,2022-02-13 20:21:17,overcast clouds
474,Suna,57.8338,50.0588,2.41,100,99,3.53,RU,2022-02-13 20:22:45,light snow
475,Alyangula,-13.8483,136.4192,81.36,67,36,8.5,AU,2022-02-13 20:22:46,scattered clouds
476,Frekhaug,60.5139,5.2435,43.12,91,100,5.59,NO,2022-02-13 20:22:46,moderate rain
477,Chivay,-15.6383,-71.6011,47.1,98,99,5.08,PE,2022-02-13 20:22:47,light rain
478,Malatya,38.5,38.0,26.65,80,0,4.61,TR,2022-02-13 20:22:47,clear sky
479,Hambantota,6.1241,81.1185,75.99,81,100,11.3,LK,2022-02-13 20:22:48,overcast clouds
480,North Platte,41.1239,-100.7654,56.98,27,0,14.97,US,2022-02-13 20:22:48,clear sky
481,Tirumullaivasal,11.2333,79.8333,75.92,77,12,10.13,IN,2022-02-13 20:22:49,few clouds
482,Preobrazheniye,42.9019,133.9064,14.11,57,62,6.24,RU,2022-02-13 20:22:49,broken clouds
483,Anantnag,33.7333,75.15,39.72,62,99,1.74,IN,2022-02-13 20:22:50,overcast clouds
484,Puerto Madero,14.7208,-92.4215,88.0,62,20,11.5,MX,2022-02-13 20:22:50,few clouds
485,Beringovskiy,63.05,179.3167,-27.72,97,14,6.89,RU,2022-02-13 20:22:51,few clouds
486,Barybino,55.2677,37.8933,29.44,54,0,8.95,RU,2022-02-13 20:22:51,light snow
487,Urusha,54.05,122.9,-7.02,92,100,2.59,RU,2022-02-13 20:22:52,overcast clouds
488,Batemans Bay,-35.7167,150.1833,64.09,80,100,4.56,AU,2022-02-13 20:22:52,overcast clouds
489,Wabrzezno,53.2799,18.9477,35.2,78,54,12.06,PL,2022-02-13 20:22:53,broken clouds
490,Pascagoula,30.3658,-88.5561,55.45,25,0,13.8,US,2022-02-13 20:20:21,clear sky
491,Petatlan,17.5167,-101.2667,89.4,37,100,7.0,MX,2022-02-13 20:22:53,overcast clouds
492,Nizhniy Kuranakh,58.8353,125.4869,-23.98,100,100,2.59,RU,2022-02-13 20:22:54,overcast clouds
493,San Antonio,29.4241,-98.4936,67.12,23,0,9.22,US,2022-02-13 20:22:18,clear sky
494,Padang,-0.9492,100.3543,76.5,84,100,4.0,ID,2022-02-13 20:22:55,overcast clouds
495,Anamur,36.0751,32.8369,55.42,70,10,9.35,TR,2022-02-13 20:22:55,clear sky
496,Santa Cruz,-17.8,-63.1667,85.46,48,75,13.8,BO,2022-02-13 20:22:55,broken clouds
497,Bac,45.3919,19.2367,36.93,77,8,5.73,RS,2022-02-13 20:22:56,clear sky
498,Klenovyy,48.1193,39.4588,25.32,90,5,2.53,UA,2022-02-13 20:22:56,clear sky
499,Mitsamiouli,-11.3847,43.2844,80.83,80,9,2.3,KM,2022-02-13 20:22:57,clear sky
500,Malakal,9.5334,31.6605,84.25,16,0,7.76,SS,2022-02-13 20:23:57,clear sky
501,Husavik,66.0449,-17.3389,-2.29,80,71,14.05,IS,2022-02-13 20:23:58,broken clouds
502,Watsa,3.0372,29.5355,74.39,37,28,1.52,CD,2022-02-13 20:23:58,scattered clouds
503,Vizinga,61.0749,50.1031,2.68,100,97,3.38,RU,2022-02-13 20:23:59,overcast clouds
504,Itum-Kale,42.7356,45.5758,25.97,75,16,4.83,RU,2022-02-13 20:23:59,few clouds
505,Champerico,14.3,-91.9167,95.54,56,2,9.53,GT,2022-02-13 20:24:00,clear sky
506,Asten,51.4042,5.7486,51.1,68,100,7.0,NL,2022-02-13 20:24:01,overcast clouds
507,Shahreza,32.0339,51.8794,40.35,52,0,4.83,IR,2022-02-13 20:22:20,clear sky
508,Sioux Lookout,50.1001,-91.917,-2.13,50,75,6.91,CA,2022-02-13 20:24:01,broken clouds
509,San Andres,12.5847,-81.7006,86.02,66,40,13.8,CO,2022-02-13 20:24:02,scattered clouds
510,Springbok,-29.6643,17.8865,78.4,38,1,8.95,ZA,2022-02-13 20:24:02,clear sky
511,Grand-Lahou,5.1367,-5.0242,78.51,86,100,5.19,CI,2022-02-13 20:24:02,light rain
512,Aflao,6.116,1.1914,84.33,79,20,9.22,TG,2022-02-13 20:24:03,few clouds
513,Abomey-Calavi,6.4485,2.3557,84.06,84,20,11.5,BJ,2022-02-13 20:24:03,few clouds
514,Cap Malheureux,-19.9842,57.6142,81.46,79,90,5.99,MU,2022-02-13 20:24:04,overcast clouds
515,Batticaloa,7.7102,81.6924,77.49,80,97,8.88,LK,2022-02-13 20:24:04,overcast clouds
516,Goderich,43.7501,-81.7165,17.91,73,100,4.61,CA,2022-02-13 20:24:05,overcast clouds
517,Gat,31.61,34.7642,54.39,77,0,0.74,IL,2022-02-13 20:24:05,clear sky
518,Sri Aman,1.2376,111.4621,75.25,100,96,0.0,MY,2022-02-13 20:24:06,overcast clouds
